ID	Secret	Title	Type	BeiZhu	Source	Txt	RelationEvidence	RelationMotivation
	对应的类型	内容	动机0参与者1证据2	备注				
1	1	神秘身影	0		栖霞洞天长老·甘鸣	据栖霞洞天长老甘鸣所言，[desc_daytime=-20]，百蛮山弟子行事突然低调起来，据说在谋划从某个门派手中夺取什么宝物。而那段时间正是太一门灭门前后，如果此事属实，这也许就是百蛮山参与此事的动机。	5	
2	1	神秘身影	1		栖霞洞天长老·月清愁	据栖霞洞天月清愁长老说，[desc_daytime=-20]去海外办事，见月轮山火光冲霄，便来查看，却发现方圆百里已经被布下绝龙阵，不得靠近，只是远远看到阵中有漫天金光。乃是百蛮山独有的百毒金蝉之术。如有证据证明其所言非虚，那灭门之事当有百蛮山参与无疑。	3|4	1
3	1	神秘身影	2		栖霞洞天弟子·林思源	据栖霞洞天弟子林思源说，[desc_daytime=-20]，他在海外寻得一上古仙府，可惜其中禁制非常强大，若非月清愁长老前来接引，差点丢了性命。而那段时间，恰好是太一门灭门前后，由此看来，月清愁长老确是偶然路过所见，并非凶徒。		
4	1	神秘身影	2		栖霞洞天长老·宁宵	据栖霞洞天宁宵长老说，月清愁长老和百蛮山有宿仇，百年来与百蛮山斗了不知道多少次，互相不能奈何。是以对百蛮山的法门十分熟悉。由此看来，月清愁长老应该不会认错，百蛮山弟子确是参与了灭门。		
5	1	神秘身影	2		百蛮山弟子·巴寒	据百蛮山弟子巴寒所言，[desc_daytime=-20]，门中长老不知道因何事集体外出，归来时径直走向藏宝阁，似乎有什么重大收获。由此看来，百蛮山为了某宝物出动派中精锐剿灭太一门似乎是可信的。		
6	2	灭门之谜	0	百蛮	百蛮山大能·漆雕拙	据百蛮山大能漆雕拙所言，[desc_daytime=-20]，百蛮山夺得一个名叫“乾坤界”的上古至宝。百蛮弟子若以此宝可开辟一方随身小世界，恰好适合豢养百毒金蝉，邪蛊反馈自身，修为可提升数倍。		
7	2	灭门之谜	0	七杀	七杀魔宫大能·赤丹秋	据七杀魔宫大能赤丹秋所言，她竟然很得意的提起[desc_daytime=-20]曾设计诛灭一个门派，言辞之中甚至带有某种深刻的仇恨，对那个门派灭门十分快意。而那段时间正是太一门灭门前后，这该说是某种巧合么？		
8	2	灭门之谜	0	合欢	合欢派大能·清羽兰	在和合欢派大能清羽兰聊起[desc_daytime=-20]东南修行界有一个门派灭门之事，此人竟然表达出对此事十分了解的样子，言辞中甚至表达出十分快意的感觉，似乎对其有某种深刻的仇恨。让人觉得事情颇不简单。		
9	2	灭门之谜	0	七千	七仟坞大能·钟离德	在和七仟坞大能钟离德聊起[desc_daytime=-20]东南修行界有一个门派灭门之事，此人竟然有一瞬间露出某种胆怯和仇恨的神色，随后便装作不在意的表达这种不自量力的小派合该当灭之类的言辞，十分可疑。		
10	2	灭门之谜	0	紫霄	紫霄宗大能·申屠息	在和紫霄宗大能申屠息聊起[desc_daytime=-20]东南有一个门派灭门之事，此人竟然讳莫如深，甚至表达出某种莫名的恐惧和忌惮，显得很不寻常。		
11	2	灭门之谜	0	正一	玄一道大能·李孙博	在和玄一道大能李孙博聊起[desc_daytime=-20]东南有一个门派灭门之事，他微微一愣表示并不知情。然而其一瞬间的流露，似乎表达出某种莫名的恐惧和忌惮，显得很不寻常。		
12	2	灭门之谜	0	昆仑	昆仑宫大能·季劫	在和昆仑宫大能季劫聊起[desc_daytime=-20]东南有一个门派灭门之事，她毫不掩饰的聊了聊看法，但是也并未细说，只是其言辞之中似乎有松了一口气的感觉，甚至还隐约有某种莫名的恐惧和忌惮，显得很不寻常。		
13	2	灭门之谜	0	丹霞	丹霞洞天大能·苏冰峦	在和丹霞宗大能苏冰峦聊起[desc_daytime=-20]东南有一个门派灭门之事，她毫不掩饰的说出太一门的名字，并由此引申了对修行界如今乱象颇显的担忧。然而她故作旁观者的言辞之中，似乎表达出某种心有余悸的感觉，显得很不寻常。		
14	2	灭门之谜	1	百蛮		百蛮山毫无疑问是灭门的主要参与者。但太一门只是东南修行界一个名不见经传的门派，派中有什么宝物引得百蛮山这样的魔门大派不惜精锐尽出，灭门而夺呢？		6
15	2	灭门之谜	1	七杀	百蛮山大能·白芷	据百蛮山大能白芷所言，[desc_daytime=-20]，七杀魔宫长老来访，众人谈论上古异闻时，该长老提到了一种名叫“乾坤界”的上古至宝的妙用。众百蛮山长老一听，便知道此物可以让百蛮山的百毒金蝉大法产生质变，简直天作之合。	22	7
16	2	灭门之谜	1	合欢	百蛮山大能·白芷	据百蛮山大能白芷所言，[desc_daytime=-20]，合欢派一名通晓古代秘闻的大能殷莲拜山，百蛮山掌教试着询问其关于上古至宝“乾坤界”的事，没想到竟然真的从其口中打探到此物似乎与东南修行界一个名叫太一门的门派有渊源。	23	8
