ID	Name	Desc	MapStory	DoLua	Default	Condition1	Point1	UnLock1	Condition2	Point2	UnLock2	Condition3	Point3	UnLock3	Condition4	Point4	UnLock4
	标题	介绍	解锁触发的mapstory		默认线索	条件1 动机|参与者|证据 条件的判断从左往右依次	指向1	解锁内容 隐秘|角色|线索									
1	神秘身影	灭门之夜已经过去数月，在一次回太一遗迹查探时，你竟然在发现一名神秘的身影。远远看去，此人竟然好似栖霞洞天长老月清愁。此人在这个时间刻意出现于此绝不寻常，难道她知道些什么？				1|2|3,4,5	100	2||14									
2	灭门之谜	虽然已经查明百蛮山有弟子为了某个宝物而参与灭门之夜。但太一门只是东南边陲的一个中等门派，一穷二白，到底是什么宝贝竟然让百蛮山不惜出动精锐来灭派夺宝？这一切尚需继续调查。			|14|	6|14|	101	3,500||	6,7,8,9|14,15,16,17|22,23,24	102	4,500||	6,10|14,18|25	103	5,500||	6,7,8,9,10,11,12,13|14,15,16,17,18,19,20,21|22,23,24,25,26,27,28,29	104	6,500||
3	往日秘辛	经过一番调查，一切的一切似乎是因太一门拥有一件上古至宝“乾坤界”，这才使得百蛮山觊觎，引来灭门之祸。但太一门只是近百年来才建立的一个小门派，一直蜗居东南边陲，为何会有此等重宝？这一切似乎没有想象中那么简单。				30,40|31|32	105										
4	往日秘辛	经过一番调查，似乎是因合欢派，七杀魔宫，七仟坞这三大邪派对太一门有某种莫名的仇恨，这才暗中泄露太一门有重宝的消息给百蛮山，使得百蛮山觊觎至宝“乾坤界”，为太一门带来灭门之祸。但太一门只是近百年来才建立的一个小门派，一直蜗居东南边陲，三大邪派都是传承自上古的老门派，这仇恨从何而来呢？这一切似乎没有想象中那么简单。			|37|	33,34,35,36,40|37|32	106										
5	往日秘辛	经过一番调查，你惊讶的发现百蛮山并非唯一参与者，当日布置绝龙阵的大能竟然来自紫霄宗。与百蛮山贪图宝物不同，紫霄宗的动机更让人费解，他们似乎对太一门有一种莫名的恐惧和忌惮，此举更像是借百蛮山的名义实行的某种防患于未然的举动。但太一门只是近百年来才建立的一个小门派，一直蜗居东南边陲，紫霄宗乃是传承自上古的大派，这莫名的恐惧和忌惮是从何而来呢？这一切似乎没有想象中那么简单。			|39|	38,40|39|32	107										
6	往日秘辛	追查之下，你发现此事已经远远超出你的预料。百蛮山并非唯一参与者，当日布置绝龙阵的大能竟然来自紫霄宗，而更让人震惊的是，这两个门派背后，竟然还有合欢派，七杀魔宫，七仟坞，丹霞洞天，昆仑宫，紫霄宗正邪六大派的身影在暗中推波助澜！除了明面上的百蛮山是单纯的为了宝物，其他藏于幕后的各派对太一门的态度竟然各有微妙：三大邪派似乎对太一门有某种仇恨，四大正派则是某种恐惧和忌惮。但太一门只是近百年来才建立的一个小门派，一直蜗居东南边陲，除百蛮山之外的七派乃是传承自上古的大派，这种莫名的态度实在令人费解。但不管如何，这显然不会是什么简单爱恨情仇所能解释，其背后势必有更深层的秘密才对。			|42|	40,41|42|32	108	7||									
7	千古一帝	如今，一切的谜团指向了当年东皇宫的末代掌教，可惜东皇宫末代掌教早已被众人围攻陨落，关于他的一切都已湮灭，无从谈起了。你感觉距离真像只有一步之遥，并且隐隐有一个预感，一切都将在起点得到解答。晃神之间，小乾坤界突然浮上心头……															
100	神秘身影	据栖霞洞天长老月清愁所说，那日其欲往海外办事，见月轮山火光冲霄，便过来查看，却发现方圆百里已经被布下绝龙阵，不得靠近，而自己也有事缠身，便离开了。只是远远看到了漫天金光，乃是百蛮山的百毒金蚕之法。而种种线索亦表明，在太一门灭门前后，百蛮山确实谋划从某个门派手中夺取什么宝物。如此看来，百蛮山与此事脱不开干系，应是下一步追查的突破口。															
101	灭门之谜	追查之下，你发现太一门似乎收藏有一件名叫“乾坤界”的至宝，此物竟然事关未来天地大劫一线生机。匹夫无罪怀璧其罪，这应当便是太一门引百蛮山这等魔教大派觊觎，带来灭门之祸的原因了。但太一门只是近百年来才建立的一个小门派，一直蜗居东南边陲，为何会有此等重宝？这一切似乎没有想象中那么简单。		WorldLua:SetWorldFlag(94,1)													
102	灭门之谜	追查之下，你发现百蛮山屠灭太一，表面上似乎是为了一件名为“乾坤界”的至宝。但此事背后竟然隐约有合欢派，七杀魔宫，七仟坞推波助澜的身影。进一步调查下，你发现这藏在背后的三派的动机十分微妙，与百蛮山贪图宝物不同，他们似乎跟太一门有刻骨的仇恨，正是因为这一仇恨，才促成了三大邪教联手推动百蛮山出手剿灭太一。\n但太一门只是近百年来才建立的一个小门派，一直蜗居东南边陲，三大邪派都是传承自上古的老门派，这仇恨从何而来呢？这一切似乎没有想象中那么简单。		WorldLua:SetWorldFlag(94,1)													
103	灭门之谜	追查之下，你发现百蛮山屠灭太一，似乎是为了一件名为“乾坤界”的至宝。但此事远不如表面上那么简单，根据百蛮山大能白芷所言，当日布下绝龙阵的其他几名大能竟然出自紫霄宗！也就是说，这次行动乃是百蛮山与紫霄宗这一邪一正两大门派联合行动。进一步追查中，你发现紫霄宗的动机十分微妙，与百蛮山贪图宝物不同，紫霄宗似乎对太一门有一种莫名的恐惧和忌惮，他们参与这次行动更像是某种斩草除根防患未然的举动。但太一门只是近百年来才建立的一个小门派，一直蜗居东南边陲，紫霄宗乃是传承自上古的大派，这莫名的恐惧和忌惮是从何而来呢？这一切似乎没有想象中那么简单。		WorldLua:SetWorldFlag(94,1)													
