Tag	TargetType	Q	MA	SA	FA	fParam	sParam
类型标签	0是目标不论仙凡1是目标为凡人2是目标为仙人3是目标为仙人且我比其境界高4是目标为仙人且我比其境界低4是目标为仙人且我与其境界一样	问题	无成功失败/中性回答	成功回答	失败回答	数值参数	文本参数
S_Carry_Discuss	0	我跟你说，[TNAME]随身带着一个[TXT]。	我对这没兴趣。	巧了，我也知道！	啊，真的吗？这你都知道？		
S_Carry_Ask	0	你知不知道[TNAME]身上有些什么	我怎么知道？	知道啊，[TIT]带着[TXT]到处跑。	我并不想告诉你。		
							
S_Esoterica_Discuss	0	你知道么？[TNAME]特别擅长[TXT]！	我对这没兴趣。	巧了，我也知道！	啊，真的吗？这你都知道？		
S_Esoterica_Ask	0	你知不知道[TNAME]擅长什么	我怎么知道？	知道啊，[TIT]擅长[TXT]。	我并不想告诉你。		
							
S_Feature_Discuss	0	我跟你说，[TNAME]是个[TXT]的人。	我对这没兴趣。	巧了，我也知道！	啊，真的吗？这你都知道？		
S_Feature_Ask	0	你知不知道[TNAME]是个什么样的人？	我怎么知道？	知道啊，[TITS]为人我知道，[TIT]是个[TXT]的人	我并不想告诉你。		
							
S_HateItem_Discuss	0	我跟你说，[TNAME]不喜欢[TXT]。	我对这没兴趣。	巧了，我也知道！	啊，真的吗？这你都知道？		
S_HateItem_Ask	0	你知不知道[TNAME]有什么不喜欢的东西？	我怎么知道？	知道，[TIT]最讨厌[TXT]。就算看到都会发怒。	我并不想告诉你。		
							
S_Hobby_Discuss	0	我跟你说，[TNAME]有一件[TXT]。如此这般……	我对这没兴趣。	巧了，我也知道！	啊，真的吗？这你都知道？		
S_Hobby_Ask	0	你知不知道和[TNAME]相处需要注意些什么特别之处？	我怎么知道？	[TIT]有一个[TXT]，如此这般。和他相处一定要注意这个。	我并不想告诉你。		
							
S_LikeItem_Discuss	0	我跟你说，[TNAME]特别喜欢[TXT]。	我对这没兴趣。	巧了，我也知道！	啊，真的吗？这你都知道？		
S_LikeItem_Ask	0	你知不知道[TNAME]有什么喜欢的东西？	我怎么知道？	知道，[TIT]特喜欢[TXT]，经常为了[TXT]茶饭不思。	我并不想告诉你。		
							
S_Secret_Discuss	0	我跟你说，[TNAME]知道[TXT]。	我对这没兴趣。	巧了，我也知道！	啊，真的吗？这你都知道？		
S_Secret_Ask	0	你说[TNAME]知道点什么。	我怎么知道？	关于[TXT]，[TIT]应该知道点什么	我并不想告诉你。		
							
T_Carry_Discuss	0	你身上竟然带着一个[TXT]，在某些关键时候可真的太重要了，你真是深谋远虑啊！	不是已经说过了？	是啊，你也觉得[TXT]很重要？看来你也是个有思想的人！	哈？你什么意思？（护住了自己的口袋）		
T_Carry_Ask	0	不知你平日行走江湖身上有些什么？	不是已经说过了？	行走江湖，[TXT]我常备在身的，在某些关键时候可是有大用的。	哈？你什么意思？（护住了自己的口袋）		
							
T_Esoterica_Discuss	0	听闻你精通[TXT]，可真是太了不起了，我要是能有你一般水平那可就满意了。	不是已经说过了？	我们的关系，想学我教你啊！以你的资质掌握这个一定没问题的。	哦？你想干什么？		
T_Esoterica_Ask	0	不知道友擅长些什么。	不是已经说过了？	我比较擅长[TXT]	我干嘛要告诉你？		
							
T_Feature_Discuss	0	其实我也是个[TXT]的人，有时候真的是为此苦恼，但又有什么办法呢？	不是已经说过了？	嗯嗯，你也是这样么？哎，看来我们是同类啊……	你什么意思？莫不是想耻笑我？		
T_Feature_Ask	0	（这种话题不适合直接当面询问吧，还是从别人那里获得信息，才好顺着打开话题。）	……	……	……		
							
T_HateItem_Discuss	0	要说世界上怎么会有[TXT]这么惹人讨厌的东西？你说是吧……	不是已经说过了？	啊啊！你也讨厌这玩意么！我也有同感啊，简直想把世界上的[TXT]全毁掉。	怎么？你意思是看不起我？		
T_HateItem_Ask	0	你有什么不喜欢的东西么？	不是已经说过了？	有啊，我十分讨厌[TXT]，简直想把世界上的[TXT]全毁掉。	我干嘛要告诉你？		
							
T_Hobby_Discuss	0	其实我也有一件[TXT]，和你经历很像……哎，一言难尽啊。	不是已经说过了？	你也有过这种经历？确实啊，这样的感受外人很难理解…	（脸色一变）你说这个是什么意思？		
T_Hobby_Ask	0	（这种话题不适合直接当面询问吧，还是从别人那里获得信息，才好顺着打开话题。）	……	……	……		
							
T_LikeItem_Discuss	0	我特别喜欢[TXT]，有了[TXT]，我才感受到自己真切的活着！	不是已经说过了？	你也有这样的感觉？我真不敢想象没有[TXT]的生活是什么样的！	哦？突然聊这个干嘛？		
T_LikeItem_Ask	0	你有什么喜欢的东西？	不是已经说过了？	说起这个，我可就不困了啊！我好喜欢[TXT]，真的是天赐之物。	我干嘛要告诉你？		
							
T_Secret_Discuss	0	其实蛮好奇关于[TXT]的一些事，可真令人感兴趣！	不是已经说过了？	关于[TXT]我还是知道点什么的，如此这般如此这般……	哦？怎么突然聊这个？		
T_Secret_Ask	0	（什么都不知道的情况下，实在不知如何开口。还是至少先从别人那里打听到一些端倪，才好旁敲侧击的询问…）	……	……	……		
