Tag	TargetType	Q	MA	SA	FA	fParam	sParam
类型标签	0是目标不论仙凡1是目标为凡人2是目标为仙人3是目标为仙人且我比其境界高4是目标为仙人且我比其境界低4是目标为仙人且我与其境界一样	问题	无成功失败/中性回答	成功回答	失败回答	数值参数	文本参数
God_Quanhua_LikeItem	0	你如此喜欢[TXT]，为之喜，为之愁。但修行一世，执著于这些身外之物又有什么意义呢？	你烦不烦……？	我亦有同感啊！[TXT]得到后往往伴随空虚，确实没什么意思。我愿追随于你，探寻修行的真正意义。	当然有意义，活着不喜欢[TXT]，和咸鱼有什么区别。		
God_Quanhua_HateItem	0	你如此讨厌[TXT]，[TXT]又与你何干？修行一世，执著于这些身外之物又有什么意义呢？	你烦不烦……？	确实啊，我讨厌[TXT]，[TXT]却在哪里，不增不减。这岂不是浪费我自己的生命？愿追随于你，探寻修行的真正意义。	当然有意义，[TXT]是真的令人生厌，我要毁掉全世界的[TXT]才不枉此生！		
God_Quanhua_Feature	0	你为人[TXT]，常常受困扰于此。你想想你修行一世，连这个都无法掌控，又有什么脸面谈自己是修行人？	你烦不烦……？	！你说的对…连自己都无法掌控，谈什么修行？我愿追随于你，探寻修行的真正意义。	关你屁事？我就是[TXT]，这是我存在的标记之一，没什么不好的！		
God_Quanhua_Hobby	0	你一生受困于这[TXT]，终日为此消耗精神，又何苦来哉？重入轮回一切皆空，修行一世徒耗在这些杂事上，又如何超脱？	你烦不烦……？	！你说的对…可是此[TXT]困扰我许久，无法解脱！我也很苦恼。我愿追随于你，愿能摆脱这些包袱，探寻修行的真正意义。	关你屁事？这是我的事，不劳费心！		
God_Quanhua_Esoterica	0	你自得于[TXT]，可这能让你长生么，这些虚名对你修行又有什么好处？重入轮回一切皆空，修行一世徒耗在这些杂事上，又如何超脱？	你烦不烦……？	！你说的对…耽搁于[TXT]，我修为许久未进步了。我愿追随于你，探寻修行的真正意义。	当然！如果没有[TXT]，我如何能有今日？你这人说话可真的奇怪。		
God_Quanhua_Secret	0	你守着关于[TXT]的事，自以为隐秘。但是这些事情真的那么重要么？修行之人，修行超脱才是正道啊！	你烦不烦……？	！你说的对啊…耽搁于这[TXT]，虚耗我许多心神，修为更是受困。我愿追随于你，探寻修行的真正意义。	你在说什么啊，如果修行一世只为超脱，那还有什么意思，我还不如不入修行！		
God_Quanhua_Carry	0	你看看你带着[TXT]等这些玩意，在天道之下，我等亦如这些杂物。修行之人，修行超脱才是正道啊！	你烦不烦……？	！是啊，不知道什么时候，突然开始沉醉于这些身外之物，却耽搁了修行，真是舍本逐末。我愿追随于你，探寻修行的真正意义。	你不会觊觎我的[TXT]吧？走远点！		
God_Quanhua_None	0	只要追随于我，就可以追求大道，永享自在！	你烦不烦……？	你怕不是石乐志。	你脑子没问题吧？我为啥要追随你？		
God_Quanhua_Track	0	（无法使用此信息劝化。）	……	……	……		
