Tag	TargetType	Q	MA	SA	FA	fParam	sParam	BanNpc	UnlockNpc	FromDLC
类型标签	0是目标不论仙凡1是目标为凡人2是目标为仙人3是目标为仙人且我比其境界高4是目标为仙人且我比其境界低4是目标为仙人且我与其境界一样	问题	无成功失败/中性回答	成功回答	失败回答	数值参数(SECRET为事件ID)	文本参数			
First	1	你是何人？	我叫[NAME]…见过仙长！							
First	3	吾乃[NAME]，你是？	见过前辈，在下[NAME]！							
First	4	"在下[NAME],初次见面！"	唔，我是[NAME]！							
First	5	初次见面，我是[NAME]，敢问道友姓名？	客气，在下[NAME]，幸会幸会！							
										
Track	0	你知道[TSCHOOL][TNAME]近日的行踪么？	我对这个人不感兴趣	他这两天似乎在[TXT]。	我为什么要告诉你?					
TrackTell	0	[TSCHOOL][TNAME]这两天在[TXT]	我对这个人不感兴趣	啊，谢谢告知！	这个我已经知道了					
										
TrackT	0	你最近有出行计划吗？	……	我两天准备去趟[TXT]，怎么了？	我为什么要告诉你?					
TrackTellT	0	你可是要前往[TXT]吗？注意安全。	哦……	道友有心了，我会小心的！	你怎么知道的？					
										
AboutNpc	0	你知道[TSCHOOL][TNAME]吗？	这人谁？不认识。	我知道一点关于[IT][TXT]的事	你有[TITS]消息吗？					
										
Gift	1	赐你此物！	感谢仙长！	感谢仙长！	……（唯唯诺诺）					
Gift	3	这件[TXT]与你，可还中意？	此物不错，谢了！	此物甚好，前辈有心了！	唔……（皱眉）					
Gift	4	这件[TXT]还请笑纳！	哦，此物尚可。	此物甚好，道友有心了！	哼……					
Gift	5	这件[TXT]还请笑纳！	哦，此物尚可。	此物甚好，道友有心了！	呵呵……					
										
Invite	1	我问你，你可有兴趣来我仙山瞻仰一番？	我已经回答过了。	太好了！这岂不是我天大的仙缘？！	我还有很多俗世没处理，去不了啊。					
Invite	2	[HENAME]道友，可有兴趣来我门派做客游览一番？	我已经回答过了。	正有此意！	最近不方便，告罪了！					
										
Close	1	就聊到这儿吧！	恭送仙长！							
Close	2	今天就聊这些吧，道友，告辞！	后会有期！             							
										
Secret	2	最近有什么有趣的事儿么？	我跟你说个我刚听说个秘密。							
										
Interest	0	嗯？有什么事么？	我对[TSCHOOL][TNAME]消息很有兴趣，你知道些什么吗？							
Interest	0	嗯？有什么事么？	你有[TSCHOOL][TNAME]的消息吗？							
Interest	0	嗯？有什么事么？	你没有见过[TSCHOOL][TNAME]？							
										
Know	0	最近可有什么新鲜事？	我知道一些[TSCHOOL][TNAME]关于[TXT]的事。							
Know	0	最近可有什么新鲜事？	我打听到[TSCHOOL][TNAME]关于[TXT]的某些消息。							
Know	0	最近可有什么新鲜事？	前两天见到了[TSCHOOL][TNAME]，身体不错。							
										
Chat	0	最近怎么样？	呵呵。							
Chat	0	有时候会突然觉得突然和世界上的一切隔离开来，十分寂寞。	……听不懂你在说什么……							
Chat	0	最近可有什么新鲜事？	太阳底下无新事，无聊啊无聊。							
Chat_Place_DanXia	0	[HENAME]道友，贵派可有什么谈资趣闻？	我派[color=#ff0000]谢思[/color]长老乃外事堂总管，为门派鞠躬尽瘁，十分敬业。据说[desc_daytime=-20]，门派欲进行扩张，甚至不惜低价抛售了一批宝材。[color=#ff0000]谢思[/color]长老当即放弃自己即将练成的神器，准备执行掌教之令，可见其对门派之忠心。不过最终此事并未实行，真是可惜了那炉神器。					Npc_DanXia_2	Npc_DanXia_2	
Chat_Place_DanXia	0	[HENAME]道友，贵派可有什么谈资趣闻？	传闻本派八宝功德池中蕴含宇宙之道，将其运用于阵法威力无穷……不知道是不是真的……							
Chat_Place_DanXia	0	[HENAME]道友，贵派可有什么谈资趣闻？	前几日看见派中有人在演练《先天甲乙木神阵》，先天木灵界展开后，真让人身心俱新。							
Chat_Place_DanXia	0	[HENAME]道友，贵派可有什么谈资趣闻？	我派大能[color=#ff0000]霍离[/color]是个书痴，一直致力于破译古代秘闻，虽然没有成功，但他还说行止坐卧手不释卷的研究。					Npc_DanXia_3	Npc_DanXia_3	
										
										
										
										
										
										
										
Chat_Place_KunLun	0	[HENAME]道友，贵派可有什么谈资趣闻？	我派[color=#ff0000]离尾燕[/color]长老实在是精明过人，执掌门派库藏以来，从来没有吃过什么亏。不过[desc_daytime=-20]，[color=#ff0000]离尾燕[/color]长老闷闷不乐的好一阵子，不知道发生了什么。					Npc_KunLun_2	Npc_KunLun_2	
Chat_Place_KunLun	0	[HENAME]道友，贵派可有什么谈资趣闻？	我派大能[color=#ff0000]古聪[/color]精通各种阵法，据说就连失传的绝龙阵都被其还原，真是学究天人。					Npc_KunLun_3	Npc_KunLun_3	
Chat_Place_KunLun	0	[HENAME]道友，贵派可有什么谈资趣闻？	传闻本派万道尊法座中蕴含天地开辟之道，将其运用于阵法威力无穷……不知道是不是真的……							
Chat_Place_KunLun	0	[HENAME]道友，贵派可有什么谈资趣闻？	前几日看见派中有人在演练《诸天六御行法仪轨》，以阵法布下诸天六御清灵胜境后，竟然让人全身灵息充沛，端的神奇。							
										
										
										
										
										
										
										
Chat_Place_TianJi	0	[HENAME]道友，贵派可有什么谈资趣闻？	传闻本派七情建木中蕴含阴阳之道，将其运用于阵法威力无穷……不知道是不是真的……							
Chat_Place_TianJi	0	[HENAME]道友，贵派可有什么谈资趣闻？	前几日看见派中有人在演练《真凰羽剑阵》，涅槃之法真有绝境逆转的玄妙。							
Chat_Place_TianJi	0	[HENAME]道友，贵派可有什么谈资趣闻？	传闻本派长老[color=#ff0000]何足道[/color]酷爱符咒之术，甚至经常绘制一些前所未见的符咒，肯定得到过什么传承秘密。					Npc_JiTian_1	Npc_JiTian_1	MiFaXuanZhang
										
										
										
										
										
										
										
Chat_Place_JiuHua	0	[HENAME]道友，贵派可有什么谈资趣闻？	[color=#ff0000]秦杰[/color]那小子实在是倒霉，为结丹准备数十年，然而[desc_daytime=-20]，其机缘已至，请师傅护法。他师傅却弃之不顾，参加什么闭关法会，最后还悟道岔气受伤，让其数十年准备化作东流水，真的惨。					Npc_ZiXiao_3	Npc_ZiXiao_3	
Chat_Place_JiuHua	0	[HENAME]道友，贵派可有什么谈资趣闻？	我派大能[color=#ff0000]辛旗[/color]为人开朗，交游广阔，一直负责接待其他门派的访客，我紫霄宗弟子行走天下多受照应，多亏了辛旗长老。					Npc_ZiXiao_2	Npc_ZiXiao_2	
Chat_Place_JiuHua	0	[HENAME]道友，贵派可有什么谈资趣闻？	传闻本派周天星斗盘中蕴含时空衍生与日月之道，将其运用于阵法威力无穷……不知道是不是真的……							
Chat_Place_JiuHua	0	[HENAME]道友，贵派可有什么谈资趣闻？	前几日看见派中有人在演练《阴阳二行神阵》，阵法灵动变化如天马行空，真是无迹可寻。							
										
										
										
										
										
										
										
Chat_Place_LongHu	0	[HENAME]道友，贵派可有什么谈资趣闻？	我派大能[color=#ff0000]叶白雪[/color]乃是出了名的老好人，从来没见过她生气的样子。不过[desc_daytime=-20]，她出使紫霄宗回山，竟然怒气勃发，大叫不当人子，实在是罕见。					Npc_ZhengYi_2	Npc_ZhengYi_2	
Chat_Place_LongHu	0	[HENAME]道友，贵派可有什么谈资趣闻？	传闻本派五龙玄阳塔中蕴含始终之道，将其运用于阵法威力无穷……不知道是不是真的……							
Chat_Place_LongHu	0	[HENAME]道友，贵派可有什么谈资趣闻？	前几日看见派中有人在演练《天地五方不灭阵》，天地五方不灭界笼罩之下，真是万法辟易。							
										
										
										
										
										
										
										
										
Chat_Place_Shu	0	[HENAME]道友，贵派可有什么谈资趣闻？	传闻本派剑池中蕴含生灭之道，将其运用于阵法威力无穷……不知道是不是真的……							
Chat_Place_Shu	0	[HENAME]道友，贵派可有什么谈资趣闻？	前几日看见派中有人在演练《八门玄金天劫剑阵》，阵法生门死门变化间，真是攻守皆备。							
Chat_Place_Shu	0	[HENAME]道友，贵派可有什么谈资趣闻？	我派大能[color=#ff0000]应扬[/color]的师尊昔日号称青莲祖师之后第一人，可惜千年前陨落于一场浩劫，太可惜了。					Npc_Shu_1	Npc_Shu_1	
										
										
										
										
										
										
										
Chat_Place_WuLian	0	[HENAME]道友，贵派可有什么谈资趣闻？	我派与百蛮山多有争端，多亏[color=#ff0000]甘鸣[/color]长老监察百蛮山动向，才让我们能占据不少先机。					Npc_QiXia_1	Npc_QiXia_1	
Chat_Place_WuLian	0	[HENAME]道友，贵派可有什么谈资趣闻？	[desc_daytime=-20]，我派弟子[color=#ff0000]林思源[/color]在海外发现一个仙府，还差点遇险，多亏派中长老救援才生还。天佑我栖霞宗！					Npc_QiXia_3	Npc_QiXia_3	
Chat_Place_WuLian	0	[HENAME]道友，贵派可有什么谈资趣闻？	[color=#ff0000]月清愁[/color]长老与[color=#ff0000]宁宵[/color]长老在凡人时就相熟，而后一起入门一起修行相交莫逆，真让人羡慕。					Npc_QiXia_2	Npc_QiXia_2|Npc_QiXia_4	
Chat_Place_WuLian	0	[HENAME]道友，贵派可有什么谈资趣闻？	传闻本派灵玉峰中蕴含万灵生发之道，将其运用于阵法威力无穷……不知道是不是真的……							
Chat_Place_WuLian	0	[HENAME]道友，贵派可有什么谈资趣闻？	前几日看见派中有人在演练《五峰镇归墟》，五峰御界笼罩之下，真可谓坚若磐石……							
										
										
										
										
										
										
Chat_Place_BaiMan	0	[HENAME]道友，贵派可有什么谈资趣闻？	[color=#ff0000]巴寒[/color]这家伙负责看守山门，一般来说派中有什么动向都一清二楚。不光消息灵通，而且油水充足，真让人羡慕。					Npc_BaiMan_1	Npc_BaiMan_1	
Chat_Place_BaiMan	0	[HENAME]道友，贵派可有什么谈资趣闻？	[desc_daytime=-20]，我派大能[color=#ff0000]漆雕拙[/color]功力大增，在此之后，陆续有派中高手功力猛进，不知是得了什么机缘。					Npc_BaiMan_2	Npc_BaiMan_2	
Chat_Place_BaiMan	0	[HENAME]道友，贵派可有什么谈资趣闻？	我派大能[color=#ff0000]白芷[/color]为人精明，交游广阔，一直负责接待其他门派的访客，朋友遍天下，是我派消息第一灵通之人。					Npc_BaiMan_3	Npc_BaiMan_3	
Chat_Place_BaiMan	0	[HENAME]道友，贵派可有什么谈资趣闻？	传闻本派万骨邪法坛中蕴含时空尽衰之道，将其运用于阵法威力无穷……不知道是不是真的……							
Chat_Place_BaiMan	0	[HENAME]道友，贵派可有什么谈资趣闻？	前几日看见派中有人在演练《九御赋龙形阵》，龙魂裂神法远看之下亦让人生出神魂动摇之感，真是凌厉非常。							
										
										
										
										
										
										
Chat_Place_XianKong	0	[HENAME]道友，贵派可有什么谈资趣闻？	我七仟坞最令人眼红的无非就是[color=#ff0000]朱非[/color]了，只要定期接应中原内陆暗子的密令，并将其汇报给派中高层便可。这等差事又轻松，油水又足，还不耽误修炼，真让人妒忌。					Npc_QiQian_2	Npc_QiQian_2	
Chat_Place_XianKong	0	[HENAME]道友，贵派可有什么谈资趣闻？	传闻本派玄磁天坑中蕴含天地归寂之道，将其运用于阵法威力无穷……不知道是不是真的……							
Chat_Place_XianKong	0	[HENAME]道友，贵派可有什么谈资趣闻？	前几日看见派中有人在演练《北斗真武戮魔大阵》，北斗破妄的秘术竟有洞穿万物之威，真乃无上仙阵。							
										
										
										
										
										
										
										
										
Chat_Place_Hei	0	[HENAME]道友，贵派可有什么谈资趣闻？	我派大能[color=#ff0000]于墨染[/color]负责看守藏书库，藏书库里都记在一些上古早就失传的宝贝，看那种东西根本就如同看演绎小说一般，就图个乐子，毫无意义。我七杀以杀为道，真亏她耐得住性子。					Npc_QiSha_2	Npc_QiSha_2	
Chat_Place_Hei	0	[HENAME]道友，贵派可有什么谈资趣闻？	传闻本派七杀神碑中蕴含万物陨灭之道，将其运用于阵法威力无穷……不知道是不是真的……							
Chat_Place_Hei	0	[HENAME]道友，贵派可有什么谈资趣闻？	前几日看见派中有人在演练《诛仙剑阵》，四剑齐发之下万物灰灰，不愧是太古第一杀阵。							
										
										
										
										
										
										
										
										
Chat_Place_HeHuan	0	[HENAME]道友，贵派可有什么谈资趣闻？	我派大能[color=#ff0000]殷莲[/color]一直对古代秘闻历史十分感兴趣，知晓许多上古秘闻。据说[desc_daytime=-20]，她在出使百蛮山时回答了一个问题，就得到十万枚灵石做报酬。看来研究研究历史还真是一条发财的捷径。					Npc_HeHuan_2	Npc_HeHuan_2	
Chat_Place_HeHuan	0	[HENAME]道友，贵派可有什么谈资趣闻？	传闻本派玄阴圣泉中蕴含造化之道，将其运用于阵法威力无穷……不知道是不是真的……							
Chat_Place_HeHuan	0	[HENAME]道友，贵派可有什么谈资趣闻？	前几日看见派中有人在演练《三阴三绝阵》，以纯阴之力御法，竟有如此威力，让人叹为观止。							
										
										
										
										
										
										
										
Chat_Place_BirthPlace14	1	此地可有什么事值得一谈？	此处是铜陵山地界，近日东南方似乎有个怪人出没……真让人担心……							
