Tag	TargetType	Q	MA	SA	FA	fParam	sParam	BanNpc	UnlockNpc
类型标签	0是目标不论仙凡1是目标为凡人2是目标为仙人3是目标为仙人且我比其境界高4是目标为仙人且我比其境界低4是目标为仙人且我与其境界一样	问题	无成功失败/中性回答	成功回答	失败回答	数值参数(SECRET为事件ID)	文本参数		
									
Chat_Place_WuDang_JinDing	0	此地有什么奇特的鱼类？	据说这附近的云里有一种螃蟹，它们只在夏天出没。					Npc_WuDang_1	
Chat_Place_WuDang_NanYanGong	0	此地有什么奇特的鱼类？	据说这附近的云里有一种螃蟹，它们只在夏天出没。					Npc_WuDang_1	
Chat_Place_WuDang_ZiXiaoGong	0	此地有什么奇特的鱼类？	据说这附近的云里有一种螃蟹，它们只在夏天出没。					Npc_WuDang_1	
Chat_Place_WuDang_Taizipo	0	此地有什么奇特的鱼类？	据说这附近的云里有一种螃蟹，它们只在夏天出没。					Npc_WuDang_1	
Chat_Place_WuDang_JinDing	0	此地有什么奇特的鱼类？	据说这附近的云里有一种螃蟹，它们只吃金属性物品。					Npc_WuDang_1	
Chat_Place_WuDang_NanYanGong	0	此地有什么奇特的鱼类？	据说这附近的云里有一种螃蟹，它们只吃金属性物品。					Npc_WuDang_1	
Chat_Place_WuDang_ZiXiaoGong	0	此地有什么奇特的鱼类？	据说这附近的云里有一种螃蟹，它们只吃金属性物品。					Npc_WuDang_1	
Chat_Place_WuDang_Taizipo	0	此地有什么奇特的鱼类？	据说这附近的云里有一种螃蟹，它们只吃金属性物品。					Npc_WuDang_1	
Chat_Place_WuDang_JinDing	0	此地有什么奇特的鱼类？	注意看这附近的云里，有一种黑色的鱼在游动，不过白天可看不见。					Npc_WuDang_1	
Chat_Place_WuDang_NanYanGong	0	此地有什么奇特的鱼类？	注意看这附近的云里，有一种黑色的鱼在游动，不过白天可看不见。					Npc_WuDang_1	
Chat_Place_WuDang_ZiXiaoGong	0	此地有什么奇特的鱼类？	注意看这附近的云里，有一种黑色的鱼在游动，不过白天可看不见。					Npc_WuDang_1	
Chat_Place_WuDang_Taizipo	0	此地有什么奇特的鱼类？	注意看这附近的云里，有一种黑色的鱼在游动，不过白天可看不见。					Npc_WuDang_1	
Chat_Npc_Npc_WuDang_1	0	道友……	这位道友，你与我有缘呀！你我当结为好友，义结金兰，邀为同道……						
Chat_Npc_Npc_WuDang_1	0	道友最近如何？	嘎嘎，武当无敌鸭！						
Chat_Npc_Npc_WuDang_1	0	道友创世之业如何了？	唔，创世本非易与之事，还差一些时日，道友勿急。						
