Brand	Model	SystemVersion	RAM	Resolution	CPU	CPU Core Count
华为	ASK-AL00x	9.0	6	1560x720	kirin710	8
小米	MI 5s Plus	8.0	4	1080x1920	Qualcomm Technologies, Inc MSM8996pro	4
小米	Redmi Note 4X	6.0	4	1080x1920	MT6797M	10
华为	ARE-AL00	9.0	4	1080x2244	Qualcomm Technologies, Inc SDM636	8
三星	SM-C7010	8.0	4	1080x1920	Qualcomm Technologies, Inc MSM8953	8
华为	JKM-TL00	8.1	4	1080x2340		8
华为	ART-AL00x	9.0	6	1560x720	kirin710	8
华为	POT-AL00	9.0	6	1080x2340	kirin710	8
华为	JER-AN10	10.0	8	1080x2340	Hisilicon Kirin985	8
魅族	PRO 7-H	7.0	4	1440x2560		10
中兴	ZTE A2020 Pro	10.0	6	1080x2340	Qualcomm Technologies, Inc SM8150	8
360	1807-A01	8.1	4	1080x2160	Qualcomm Technologies, Inc SDM660	8
华为	EVR-AL00	10.0	6	1080x2244	Hisilicon Kirin980	8
华为	JKM-LX2	9.0	4	1080x2340	kirin710	8
华为	HRY-AL00a	10.0	4	1080x2340	Hisilicon Kirin710	8
华为	BND-AL10	7.0	4	1080x2340		8
华为	LND-AL30	8.0	3	1440x720	msm8953	8
华为	BLA-AL00	9.0	6	1080x2160	kirin970	8
OPPO	OPPO A57t	6.0	3	1280x720	Qualcomm Technologies, Inc MSM8940	8
VIVO	V1731CA	8.1	4	1440x720	Qualcomm Technologies, Inc SDM439	8
三星	SM-A9200	10.0	6	1080x2220	Qualcomm Technologies, Inc SDM660	8
VIVO	V1963A	10.0	6	1080x2400	Qualcomm Technologies, Inc LITO	8
VIVO	V1938CT	9.0	8	1080x2400	PD1938C board based on Samsung Exynos980	8
华为	STF-AL10	9.0	6	1080x1920	hi3660	8
魅族	M5 Note	8.0	3	1440x720	1	8
华为	FRD-DL00	7.0	3	1080x1920	hi3650	8
华为	PCT-AL10	10.0	6	1080x2310	Hisilicon Kirin980	8
VIVO	V1916A	10.0	8	1080x2340	Qualcomm Technologies, Inc SM8150	8
三星	SM-G9350	8.0	4	1440x2560	Qualcomm Technologies, Inc MSM8996	4
华硕	ASUS_Z012DA	8.0	4	1080x1920	Qualcomm Technologies, Inc MSM8953	8
华为	COL-AL10	9.0	6	2048x2732 	麒麟970	8
华为	SEA-AL10	10.0	8	1080x2340	Hisilicon Kirin980	8
VIVO	NEX vivo	10.0	6	1080x2400	骁龙710	8
三星	SM-G9600	10.0	4	1440x2960	Qualcomm Technologies, Inc SDM845	8
华为	PCT-AL10	10.0	6	1080x2310	Hisilicon Kirin980	8
VIVO	V1981A	10.0	6	1080x2408	Qualcomm Technologies, Inc KONA	8
华为	VOG-AL00	10.0	8	1080x2340	Hisilicon Kirin980	8
华为	TAS-AL00	HarmonyOS 2.0	8	1080x2340	Hisilicon Kirin990	8
华为	LYA-AL00	10.0	6	1440x3120	Hisilicon Kirin980	8
OPPO	OPPO R11	8.1	4	1080x1920	Qualcomm Technologies, Inc SDM660	8
华为	HMA-AL00	10.0	6	1080x2244	Hisilicon Kirin980	8
三星	SM-G9500	9.0	3	1440x2960	Qualcomm Technologies, Inc MSM8998	8
华为	JNY-AL10	HarmonyOS 2.0	8	1080x2310	Hisilicon Kirin810	8
三星	SM-G9550	9.0	5	1440x2960	Qualcomm Technologies, Inc MSM8998	8
小米	Redmi K30 5G	11.0	6	1080x2400		8
华为	BMH-AN10	HarmonyOS 2.0	8	1080x2400	Hisilicon Kirin985	8
HTC	HTC 2Q4D200	8.0	6	1440x2880	Qualcomm Technologies, Inc MSM8998	8
华为	DVC-TN20	10.0	6	1080x2400	MT6873	8
VIVO	V1824BA	10.0	6	1080x2340	Qualcomm Technologies, Inc SM8150	8
小米	MI CC9 Pro	10.0	6	1080x2340	Qualcomm Technologies, Inc SM7150	8
华为	YAL-AL50	10.0	8	1080x2340	Hisilicon Kirin810	8
OPPO	PDCM00	10.0	8	1080x2400	MT6885Z/CZA	8
华为	TEL-AN00a	10.0	6	1080x2400	Hisilicon Kirin820	8
小米	MI 8	9.0	6	1080x2248	Qualcomm Technologies, Inc SDM845	8
OPPO	PBFT00	8.1	4	1520x720	Qualcomm Technologies, Inc SDM450	8
VIVO	V1921A	9.0	6	1080x2340	Qualcomm Technologies, Inc SDM712	8
OPPO	OPPO A79t	7.1	4	1080x2160	MT6763V/CT	8
小米	Redmi 7	9.0	3	1520x720	Qualcomm Technologies, Inc SDM632	8
三星	SM-A705FN	9.0	6	1080x2400	高通骁龙675	8
三星	SM-G9730	10.0	8	1440x3040	Qualcomm Technologies, Inc SM8150	8
VIVO	V1930A	9.0	3	1544x720	Qualcomm Technologies, Inc SDM439	8
华为	SNE-AL00	10.0	6	1080x2340	Hisilicon Kirin710	8
华为	FRD-AL10	8.0	4	1080x1920	hi3650	8
小米	redmi note 9s	10.0	4	1080x1920	高通 骁龙720G	8
华为	PIC-AL00	8.0	4	1080x1920	hi6250	8
华为	PCT-AL10	10.0	6	1080x2310	Hisilicon Kirin980	8
华为	LON-AL00	9.0	6	1440x2560	hi3660	8
三星	SM-A3050	10.0	6	1560x720	exynos7904	8
一加	ONEPLUS A5000	8.0	6	1080x1920	Qualcomm Technologies, Inc MSM8998	8
华为	SPN-AL00	10.0	6	1080x2340	Hisilicon Kirin810	8
三星	SM-G9700	10.0	6	1080x2280	Qualcomm Technologies, Inc SM8150	8
华为	YAL-AL10	10.0	8	1080x2340	Hisilicon Kirin980	8
华为	OXP-AN00	10.0	8	1080x2400	Hisilicon Kirin990	8
VIVO	V1911A	9.0	6	1080x2340	Qualcomm Technologies, Inc SDM710	8
华为	CDY-AN00	10.0	8	1080x2400	麒麟980	8
三星	SM-G6200	8.1	6	1080x2160	Qualcomm Technologies, Inc SDM660	8
华为	NTH-AN00	11.0	8	1080x2340	QualcommSnapdragon 778G	8
真我	RMX2051	10.0	8	1080x2400	Qualcomm Technologies, Inc SDM765G 5G	8
华为	ALP-AL00	10.0	4	1440x2560	Hisilicon Kirin970	8
三星	SM-A6060	10.0	6	1080x2340	Qualcomm Technologies, Inc SM6150	8
华为	LIO-AL00	10.0	8	1176x2400	Hisilicon Kirin990	8
华为	FIG-AL00	8.0	3	1080x2160		4
魅族	meizu 17 Pro	10.0	8	1080x2340	骁龙865	8
谷歌	Pixel 3 XL	9.0	4	1080x2160	骁龙845	8
小米	redmi 9	10.0	4	1080x2340	联发科 Helio G80	8
华为	JSN-AL00a	10.0	4	1080x2340	Hisilicon Kirin710	8
华为	SEA-AL10	10.0	8	1080x2340	Hisilicon Kirin980	8
VIVO	vivo X9i	7.1	4	1080x1920	Qualcomm Technologies, Inc MSM8953	8
华为	LND-AL30	8.0	3	1440x720	msm8953	8
华为	HMA-AL00	10.0	6	1080x2244	Hisilicon Kirin980	8
华为	HRY-LX1T	10.0	4	1080x2340	Hisilicon Kirin710	8
华为	MRD-AL00	9.0	3	1560x720	MT6765	8
华硕	rog_phone3	10.0	12	1080x1920	Qualcomm Snapdragon 865 PLUS SM8250	8
VIVO	V1913A	9.0	6	1080x2340	MT6768V/CA	8
三星	SM-M3070	10.0	6	1080x2340	exynos9611	8
华为	BLA-AL00	10.0	6	1080x2160	Hisilicon Kirin970	8
OPPO	PACT00	9.0	6	1080x2280	MT6771V/C	8
华为	RVL-AL09	8.1	6	1080x2220	HiSiLiKirin970	8
华为	NEM-TL00	6.0	2	1080x1920	hi6250	8
三星	SM-G9300	8.0	4	1440x2560	Qualcomm Technologies, Inc MSM8996	4
三星	SM-G610F	7.0	3	1080x1920	samsungexynos7870	8
华为	FIG-AL00	9.0	3	1080x2160	hi6250	8
华为	AQM-AL00	10.0	6	1080x2400	Hisilicon Kirin710	8
OPPO	PCHM30	9.0	8	1600x720	Qualcomm Technologies, Inc SDM665	8
一加	ONEPLUS A6010	9.0	8	1080x2340	Qualcomm Technologies, Inc SDM845	8
华为	GLK-AL00	10.0	6	1080x2310	Hisilicon Kirin710	8
小米	MIX 2	7.1	6	1080x2160	Qualcomm Technologies, Inc MSM8998	8
VIVO	V1928A	9.0	4	1544x720	Qualcomm Technologies, Inc TRINKET	8
华为	BLN-AL10	8.0	3	1080x1920	hi6250	8
真我	RMX1971	10.0	8	1080x2340	Qualcomm Technologies, Inc SDM712	8
三星	SM-A5070	9.0	6	1080x2340	exynos9611	8
华为	PRA-AL00	7.0	3	1080x1920	麒麟655	8
三星	SM-A7070	9.0	8	1080x2400	Qualcomm Technologies, Inc SM6150	8
华为	NZA-ALOO	10.0	6	1600x720	联发科6765	8
华为	HUAWEI RIO-TL00	6.0	2	1080x1920	msm8916	8
小米	MI 9	9.0	8	1080x2340	Qualcomm Technologies, Inc SM8150	8
谷歌	Pixel 3	9.0	4	1080x2160	骁龙778G	8
华为	WAS-TL10	8.0	4	1080x1920	hi6250	8
VIVO	vivo X9Plus	7.1	6	1080x1920	Qualcomm Technologies, Inc MSM8976SG	8
VIVO	V1932A	10.0	8	1080x2400	Qualcomm Technologies, Inc SDM712	8
华硕	ASUS_X00QD	9.0	4	1080x2246	Qualcomm Technologies, Inc SDM636	8
VIVO	V1730EA	8.1	4	1080x2280	Qualcomm Technologies, Inc 626	8
VIVO	vivo Z3x	9.0	6	1080x2280	Qualcomm Technologies, Inc SDM660	8
华为	HRY-AL00Ta	10.0	6	1080x2340	Hisilicon Kirin710	8
OPPO	PCEM00	9.0	6	1080x2340	MT6771V/CT	8
华为	BLN-AL30	7.0	3	1080x1920	hi6250	8
华为	JMM-AL00	7.0	3	1280x720	MT6750V/C	8
华为	VIE-AL10	8.0	4	1080x1920	hi3650	8
华为	KIW-AL10	6.0	3	1080x1920	Qualcomm MSM 8939 HUAWEI KIW-AL10	8
OPPO	CPH1819	8.1	4	1080x2280	MT6771V/C	8
华为	BLN-TL10	8.0	3	1080x1920	hi6250	8
华为	GLK-AL00	10.0	6	1080x2310	Hisilicon Kirin710	8
VIVO	V1818A	8.1	3	1520x720	Qualcomm Technologies, Inc SDM439	8
华为	DUB-AL00	8.1	3	1520x720	Qualcomm Technologies, Inc SDM450	8
VIVO	V1965A	10.0	8	1080x2340	Qualcomm Technologies, Inc SM6125	8
VIVO	vivo 1716	8.1	4	1440x720	Qualcomm Technologies, Inc 450	8
VIVO	vivo Y85	8.1	4	1080x2280	Qualcomm Technologies, Inc 450	8
黑鲨	SKW-A0	9.0	12	1080x2340	Qualcomm Technologies, Inc SM8150	8
VIVO	vivo Y75s	8.1	4	1440x720	Qualcomm Technologies, Inc 450	8
小米	MI MAX	7.0	3	1080x1920	骁龙660	8
VIVO	V1816A	9.0	6	1080x2340	Qualcomm Technologies, Inc SDM660	8
OPPO	OPPO R11 Plus	8.1	6	1080x1920	Qualcomm Technologies, Inc SDM660	8
VIVO	vivo Z1i	9.0	4	1080x2280	Qualcomm Technologies, Inc SDM636	8
华为	MED-TL00	10.0	4	1600x720	MT6765V/CB	8
魅族	Meizu M5	6.0	3	1280x720	MT6750	4
华为	JAT-AL00	9.0	3	1560x720	MT6765	8
