Brand	Model	SystemVersion	Resolution	Screen	CPU	CPU Core Count	CpuMHZ	RAM
IUNI	N1	5.1	720×1280	5	MT6753	8	1300MHz	2048MB
联想	S90-u	4.4.4	720×1280	5	: ARMv7 Processor rev 0 (v7l)	4	1200MHz	1024MB
魅族	M463C	4.4.4	1080×1920	5.5	: ARMv7 Processor rev 1 (v7l)	8	1500MHz	2048MB
美图	V4	5.1	1080×1920	5	MT6795	8	2000MHz	3072MB
金立	GN9005	4.3	720×1280	4.8	Qualcomm MSM8926	4	1200MHz	1024MB
酷派	5200S	4.3	480×800	4	Qualcomm MSM 8610 (Flattened Device Tree)	2	1200MHz	512MB
OPPO	1107	4.4.4	480×854	4.5	: ARMv7 Processor rev 0 (v7l)	4	1200MHz	1024MB
HTC	M8t	6	1080×1920	5	Qualcomm MSM8974PRO-AC	4	2500MHz	2048MB
华为	CAM-AL00	6	720×1280	5.5	"Qualcomm Technologies, Inc. MSM8952 QRD SKUM"	8	1500MHz	2048MB
华为	NEM-AL10	6	1080×1920	5.2	hi6250	8	2000MHz	3072MB
vivo	Y13iL	4.4.4	480×854	4.5	MT6735M	4	1000MHz	768MB
魅族	M355	4.4.4	1080×1800	5.1	MX3	4	1600MHz	2048MB
三星	SM-A7009	4.4.4	1080×1920	5.5	: ARMv7 Processor rev 1 (v7l)	8	2500MHz	2048MB
索尼	XM50h	4.3	720×1280	6	Qualcomm MSM 8226 (Flattened Device Tree)	4	1400MHz	1024MB
TCL	P520L	4.4.4	480×854	5	: ARMv7 Processor rev 0 (v7l)	4	1200MHz	512MB
酷派	8713	4.4.4	480×854	5	: ARMv7 Processor rev 0 (v7l)	4	1200MHz	512MB
金星	JXD-T9003	4.4.4	540×960	5	: ARMv7 Processor rev 0 (v7l)	4	1200MHz	1024MB
HTC	A9w	7	1080×1920	5	"Qualcomm Technologies, Inc MSM8952"	8	1500MHz	2048MB
联想	S810t	4.3	720×1280	5.5	Qualcomm MSM 8226 (Flattened Device Tree)	4	1200MHz	1024MB
摩托罗拉	XT1115	6.0.1	1440×2560	5.96	: ARMv7 Processor rev 1 (v7l)	4	2700MHz	3072MB
三星	GT-I9308I	4.3	720×1280	4.8	Qualcomm MSM 8226 (Flattened Device Tree)	4	1400MHz	1536MB
索尼	S55u	4.4.2	720×1280	5.5	Qualcomm MSM8926	4	1200MHz	1024MB
中兴	A880	4.4.4	720×1280	5	: ARMv7 Processor rev 0 (v7l)	4	1200MHz	1024MB
中兴	Q508U	4.4.4	480×854	5.5	: ARMv7 Processor rev 0 (v7l)	4	1200MHz	512MB
OPPO	R6007	4.3	720×1280	4.7	Qualcomm MSM 8226 (Flattened Device Tree)	4	1600MHz	1024MB
华为	ALE-UL00	6	720×1280	5	hi6210sft	8	1200MHz	2048MB
努比亚	NX569J	6.0.1	1080×1920	5.2	"Qualcomm Technologies, Inc MSM8976"	8	1500MHz	6144MB
华硕	T00P	4.4.2	720×1280	5	Qualcomm MSM 8226 (Flattened Device Tree)	4	1200MHz	2048MB
酷派	Y75	4.4.4	540×960	5.5	: 64-bit ARMv8 Processor rev 0 (v7l)	4	1200MHz	1024MB
酷派	8297-C00	4.4.4	720×1280	5	: ARMv7 Processor rev 0 (v7l)	4	1200MHz	1024MB
