Brand	Model	SystemVersion	RAM	Resolution	CPU	CPU Core Count
vivo	V1986A	10	6	2408x1080	MT6889Z/CZA	8
小米	Mi 10	10	8	2340x1080	Qualcomm Technologies, Inc SM8250	8
华为	JER-AN10	10	8	2340x1080	Hisilicon Kirin985	8
VIVO	V1955A	10	6	2400x1080	Qualcomm Technologies, Inc KONA	8
华为	WLZ-AN00	HarmonyOS 2.0	8	2400x1080	Hisilicon Kirin990	8
VIVO	V1981A	10	6	2408x1080	Qualcomm Technologies, Inc KONA	8
华为	CDY-AN00	10	8	1080x2400	麒麟980	8
华为	JNY-AL10	HarmonyOS 2.0	8	2310x1080	Hisilicon Kirin810	8
小米	MI 6	8.0.0	6	1920x1080	Qualcomm Technologies, Inc MSM8998	8
小米	MI 9	9	8	2340x1080	Qualcomm Technologies, Inc SM8150	8
华为	PCT-AL10	10	6	2310x1080	Hisilicon Kirin980	8
华为	ELE-AL00	10	8	2340x1080	Hisilicon Kirin980	8
华为	EML-AL00	9	6	2340x1080		8
华为	YAL-AL00	10	8	2340x1080	Hisilicon Kirin980	8
华为	HMA-AL00	10	6	2244x1080	Hisilicon Kirin980	8
一加	IN2010	11	8	2400x1080	Qualcomm Technologies, Inc KONA	8
华为	JEF-AN00	10	8	2400x1080	Hisilicon Kirin985	8
小米	Redmi K20 Pro	10	6	2340x1080	Qualcomm Technologies, Inc SM8150	8
华为	SEA-AL10	10	8	2340x1080	Hisilicon Kirin980	8
一加	GM1910	10	6	2340x1080	Qualcomm Technologies, Inc SM8150	8
华为	VOG-AL00	10	8	2340x1080	Hisilicon Kirin980	8
华为	LIO-AL00	10	8	2400x1176	Hisilicon Kirin990	8
小米	MIX 2S	10	6	2160x1080	Qualcomm Technologies, Inc SDM845	8
华为	VCE-AL00	10	8	2310x1080	Hisilicon Kirin970	8
华为	HLK-AL00	10	6	2340x1080	Hisilicon Kirin810	8
VIVO	V1962A	10	8	2400x1080	PD1962 board based on Samsung EXYNOS980	8
华为	LYA-AL00	10	6	3120x1440	Hisilicon Kirin980	8
小米	Redmi Note 8 Pro	9	8	2340x1080	MT6785V/CC	8
华为	GLK-AL00	10	6	2310x1080	Hisilicon Kirin710	8
VIVO	V1914A	10	8	2340x1080	Qualcomm Technologies, Inc SDM845	8
华为	YAL-AL10	10	8	2340x1080	Hisilicon Kirin980	8
华为	TAS-AL00	HarmonyOS 2.0	8	2340x1080	Hisilicon Kirin990	8
VIVO	V1838A	9	8	2340x1080	Qualcomm Technologies, Inc SM6150	8
华为	SPN-AL00	10	6	2340x1080	Hisilicon Kirin810	8
华为	STK-AL00	10	6	2340x1080	Hisilicon Kirin710	8
VIVO	V1936A	10	6	2340x1080	Qualcomm Technologies, Inc SM8150	8
一加	HD1910	10	8	2340x1080	Qualcomm Technologies, Inc SM8150	8
VIVO	V1901A	9	4	1544x720	MT6765V/CB	8
VIVO	V1934A	9	6	2340x1080	MT6768V/CA	8
小米	Redmi K30 5G	10	6	2400x1080		8
iQOO	V1936A	9	8	2340x1080		8
小米	MI 6	9	4	1920x1080	Qualcomm Technologies, Inc MSM8998	8
VIVO	vivo X21A	9	6	2280x1080	Qualcomm Technologies, Inc SDM660	8
华为	JSN-AL00a	10	4	2340x1080	Hisilicon Kirin710	8
VIVO	V1818A	8.1.0	4	1520x720	Qualcomm Technologies, Inc SDM439	8
VIVO	V1824A	10	8	2340x1080	Qualcomm Technologies, Inc SM8150	8
VIVO	V1818A	8.1.0	3	1520x720	Qualcomm Technologies, Inc SDM439	8
VIVO	vivo X21A	9	6	2280x1080	Qualcomm Technologies, Inc SDM660	8
华为	MHA-AL00	7	4	1920x1080	hi3660	8
华为	PAR-AL00	8.1.0	6	2340x1080	麒麟970	8
小米	Redmi Note 7 Pro	9	6	2340x1080	Qualcomm Technologies, Inc SM6150	8
华为	JSN-AL00a	10	4	2340x1080	Hisilicon Kirin710	8
OPPO	PBEM00	10	6	2340x1080	Qualcomm Technologies, Inc SDM670	8
VIVO	V1911A	9	6	2340x1080	Qualcomm Technologies, Inc SDM710	8
OPPO	PCLM10	10	8	2400x1080	Qualcomm Technologies, Inc SM8150_Plus	8
华为	ASK-AL00x	9	6	1560x720	kirin710	8
OPPO	PCHM10	9	4	1600x720	Qualcomm Technologies, Inc SDM665	8
华为	ART-AL00x	9	6	1560x720	kirin710	8
华为	TAS-AN00	HarmonyOS 2.0	8	2340x1080	Hisilicon Kirin990	8
小米	SHARK KLE-A0	10	12	2400x1080	骁龙865	8
小米	M2004J7AC	10	5	2400x1080	MT6875	8
华为	TEL-AN00a	10	6	2400x1080	Hisilicon Kirin820	8
