ID	ItemName	Type	Count	Stuff	MinQuality	MaxQuality	MinRate	MaxRate	SpellLevel	IsFake	FabaoKind	FabaoName	FabaoDes	GodCount	IsMiBao	SpecialID
ID	道具名	奖励类型(0:普通物品 1:符咒 2:法宝 3:影响值 4:笼子)	道具数量	主材料	最小品质	最大品质	最小品阶	最大品阶	符纸等级(0-2)	是否为假符	法宝种类(0:战斗法宝 1:宝物)	法宝名(空则使用默认名)	法宝描述(空则使用默认描述)	法宝洗练次数	是否秘宝	特殊道具ID 填写该ID所有随机规则都会失效
1	Item_Wood	0	10		-1	-1										
2	Item_SysAxe	0	1	Item_IronBlock	1	1										
3	Item_BrownRock	0	10		-1	-1										
4	Item_Jerky	0	10													
5	Item_IronRock	0	10													
6	Item_RoughWoodBlock	0	20													
7	Item_BrownRockBlock	0	20													
8	Item_IronBlock	0	20													
9	Item_Dice	0	1	Item_RoughWoodBlock	1	1										
10	Item_SmallBell	0	1	Item_RoughWoodBlock	1	1										
11	Item_PracticeClothes	0	1	Item_BlackCloth	1	1										
12	Item_PracticeTrousers	0	1	Item_BlackCloth	1	1										
13	Item_RoughWoodBlock	0	100													
14	Item_SysSickle	0	1	Item_RoughWoodBlock	1	1										
15	Item_Healroot	0	20													
16	Item_WeaponWoodBow	0	1	Item_RoughWoodBlock	1	1										
17	Item_StoneEssenceDrug	0	5													
18	Item_BearGallbladder	0	10													
19	Item_SysPickaxe	0	1	Item_RoughWoodBlock	1	1										
20	Item_StoneBox2	0	1													
21	Item_BasePracticeDrug	0	1													
22	Item_LingWoodBlock	0	50													
23	Item_LingStone	0	300													
24	Item_JinEssence	0	1													
25	Item_MuEssence	0	1													
26	Item_ShuiEssence	0	1													
27	Item_HuoEssence	0	1													
28	Item_TuEssence	0	1													
29	Item_MagicHerb	0	40													
30	Item_SilverBlock	0	40													
31	Item_CopperBlock	0	40													
32	Item_DarksteelBlock	0	40													
33	Item_HardWoodBlock	0	40													
34	Item_JadeBlock	0	40													
35	Item_MarbleLeftover	0	400													
36	Item_LingCrystal	0	1													
37	Item_LingStone	0	100													
38	Item_LingWood	0	20													
39	Item_BlackCloth	0	50													
40	Item_Dan_NoHunger2	0	10													
41	Item_SoulPearl	0	1													
42	Item_Dan_Soul1	0	3													
43	Item_Yao_ChickenGuan	0	1													
44	Item_Dan_PracticeRate	0	5													
45	Item_SpellPaperLv2	0	10													
46	FengShuiItem_YinZhang2	0	1													
47	SP_Bow1	0	1	Item_RoughWoodBlock	1	1										
48	Item_GanodermaLucidum	0	50													
49	Item_Ginseng	0	50													
50	Item_SoulCrystalYou	0	20													
51	Item_Dan_TreeEXP	0	1													
52	Item_Dan_FiveBase1	0	10													
53	Item_Dan_FiveBase2	0	10													
54	Item_Dan_FiveBase3	0	10													
55	Item_Dan_FiveBase4	0	10													
56	Item_Dan_FiveBase5	0	10													
57	Item_ZaoHuaYuZi	0	1													
58	Item_RoughWoodBlock	0	500													
59	Item_Wheat	0	500													
60	Item_LingStone	0	1000													
61	Item_PurpleGanodermaLucidum	0	20													
62	Item_RedGinseng	0	20													
63	Item_GodPractice_MiJuan	0	5													
64	Item_WhiteHair	0	1													
65	Item_QiZhi	0	10													
66	Item_SoulCrystalYuanLing	0	3													
67	Item_Earth_LingZhi	0	5													
68	Item_Summer_LingZhi	0	5													
69	Item_Spring_LingZhi	0	5													
70	Item_Winter_LingZhi	0	5													
71	Item_Fall_LingZhi	0	5													
72	Item_Dan_ReBorn	0	3													
73	Item_Ginkgo	0	500													
74	Item_LingMuXueJie	0	20													
75	Item_Dan_FenShen1	0	3													
76	Item_Dan_FenShen2	0	3													
77	Item_Dan_LongDan1	0	1													
78	Item_Dan_Fail4	0	1													
79	Item_LingStone	0	5000													
80	Item_Cape_Sp7	0	1													
81	Item_YaoLeather1	0	100													
82		3	100													
83	Spell_GlobalEfficiency	1	1		0.8	0.99			1							
84	Spell_MoveSpeed1	1	1		0.8	0.99			1							
85	Spell_WorldMapFlySpeed	1	1		0.8	0.99			1							
86	Spell_DeepPracticeSpeedSpecialCoefficient1	1	1		0.8	0.99			1							
87	Spell_Hide	1	1		0.8	0.99			1							
88	Spell_VisionRadius	1	1		0.8	0.99			1							
89	Item_WeaponSword	2	1	Item_RoughWoodBlock	1	1	4	4			0	辟邪木剑	一柄木质的宝剑，被淬炼为法宝，有辟邪之用。	0		
90	Item_StarEssence	0	1													
91	Item_ParasolWood	0	1													
92	Item_SilverBlock1	0	1													
93	Item_CopperBlock1	0	1													
94	Item_SkyStoneBlock	0	1													
95	Spell_TempLow1	1	5		0.8	0.99			1							
96	Spell_TempHigh1	1	5		0.8	0.99			1							
97	Item_RoughWoodBlock	0	500													
98	Item_BrownRockBlock	0	500													
99	Item_IronBlock	0	500													
100	Item_EarthEssence	0	5													
101	Item_Dan_FengDan1	0	1													
102	Item_Dan_ZhuLongDan1	0	1													
103		3	400													
104	Item_QieDaoGuo	0	3													
105	Item_YanDaoGuo	0	3													
106	Box1	4	1													
107	Item_LingStone	0	1													
108	Item_JinEssence	0	1													
109	Item_SoulCrystalYou	0	1													
110	Item_ShuiEssence	0	1													
111	Item_MuEssence	0	1													
112	Item_HuoEssence	0	1													
113	Item_TuEssence	0	1													
114	Item_EarthEssence	0	1													
115	Item_StarEssence	0	1													
116	Item_SilverBlock	0	1													
117	Item_CopperBlock1	0	1													
118	Item_ParasolWood	0	1													
119	Item_ExtremeJade	0	1													
120	Item_BossLong_Meat	0	1													
121	Item_BossFeng_Meat	0	1													
122	Item_BossZhuLong_Meat	0	1													
123	Item_Dan_FiveBaseFromLife	0	1													
124	Item_Dan_TreeEXP	0	1													
125	Item_MiBao_ZhenWuDangMoShenJian	2	1		1	1	12	12			0	真武荡魔神剑	真武大帝又称荡魔天尊，此剑正是其持以扫除群魔的至宝。剑长二尺七寸，剑身为玉石淬炼而成，又在其中炼入荡魔真法，因此剑身散发浩然之光。一旦御出便会化为丈长的雷霆霹雳，无物不催。	0	1	1699868083
126	Item_EarthEssence	0	1				14	14								1700825117
127	Item_Dan_ReBorn_4	0	1													
1001	Item_LingStone	0	1													
1002	Item_Wood	0	1													
1003	Item_LingWood	0	1													
1004	Item_HardWood	0	1													
1005	Item_ParasolWood	0	1													
1006	Item_BrownRock	0	1													
1007	Item_GrayRock	0	1													
