ThingName	DLC

RedWallDownLeftS	5
RedWallUpLeftS	5
RedWallMidUpS	5
RedWallMidRightS	5
RedWallVerticalS	5
RedWallVerticalHalfS	5
RedWallHorizontalS	5
RedWallDownLeftTinyS	5
RedWallUpLeftTinyS	5
LsXuanWu_Carve	5
ZhenWuCarve	5
TurTleMonu	5
IncenseTripod	5
DragonIncense	5
RedWallDownLeft	5
RedWallDownLeft2	5
RedWallUpLeft	5
RedWallUpLeft2	5
RedWallMidUp	5
RedWallMidUp2	5
RedWallMidRight	5
RedWallMidRight2	5
RedWallVertical	5
RedWallVerticalHalf	5
RedWallHorizontalHalf	5
RedWallHorizontal	5
RedWallDownLeftTiny	5
RedWallUpLeftTiny	5
RedWallGate_Part	5
RedWallGate	5
RedWallDrum	5
WuDangBigGate	5
WuDangScreen	5
WuDangFlag	5
WuDangXiangLu	5
WuDangPuTuan	5
WuDangXianHeDeng	5
WuDangDivine	5
WuDangJinDian	5
WuDangXuanWuDeng	5
Building_ChaShu1	5
Building_ChaShu2	5
Building_WuDangSong1	5
Building_WuDangSong2	5
Building_WuDangSong3	5
Building_WuDangSong4	5
Table_TaiZi	5
Building_BigSwordPillar_ZiXiao	5
Building_XiaoDanLu1_ZiXiao	5
Building_ShiBei_ZiXiao	5
LsPanda_Carve	0
BambooBed	0
Building_BambooScreen1	0
Building_WaterWheel	0
Building_BambooScreen2	0
BambooLight	0
Building_BambooPavilion	0
Item_BambooShoot	0
Item_Bamboo	0
Item_FishStick	0
Item_PandaJade	0
Item_HorseFromJY_Panda	0
Item_WuDang_HuangJing	5
Item_WuDang_HuangJingFen	5
Item_WeaponFuChen	5
Item_WeaponDaoSword	5
Item_XuanTianShangDiPai	5
Item_Dan_WuQiNoHunger2	5
Item_Dan_SanHuaHuangJing	5
Item_MiBao_ZhenWuDangMoShenJian	5
Item_MiBao_ZiXiaoChi	5
Fish_SkySnake	5
Fish_SkyFish	5
Fish_SkyCrab	5
Item_XuanWuEgg	5
Item_Wonder_ZhenWuShenNian	5
FishBase	0
Fish_StoneCrab	0
Fish_Ji	0
Fish_t6	0
Fish_t8	0
Fish_s3	0
Fish_s7	0
Fish_s9	0
Fish_ChillyCrab	0
Fish_BaiHuang	0
Fish_s1	0
Fish_r6	0
Fish_QingHei	0
Fish_t2	0
Fish_s2	0
Fish_r8	0
Fish_s5	0
Fish_t1	0
Fish_t5	0
Fish_r2	0
Fish_r1	0
Fish_r11	0
Fish_FenLi	0
Fish_t11	0
Fish_r3	0
Fish_Black	0
Fish_BlueFish	0
Fish_Huang	0
Fish_HongHuang	0
Fish_r13	0
Fish_RedFish	0
Fish_t10	0
Fish_JadeCrab	0
Fish_s6	0
Fish_r5	0
Fish_r12	0
Fish_XieLi	0
Fish_t3	0
Fish_s4	0
Fish_s11	0
Fish_FireCrab	0
Fish_HongGui	0
Fish_t4	0
Fish_s10	0
Fish_r4	0
Fish_r7	0
Fish_t7	0
Fish_t9	0
Fish_t12	0
Fish_s12	0
Fish_s8	0
Fish_r9	0
Fish_r10	0
Shrimp1	0
Shrimp2	0
Shrimp3	0
Shrimp4	0
Shrimp5	0
Shrimp6	0
Shrimp7	0
Shrimp8	0
Shrimp9	0
Shrimp10	0
Shrimp11	0
Shrimp12	0
Item_BambooLeftover	0
Panda_NormalAttack	0
JYPanda_NormalAttack	0
LsPanda1_NormalAttack	0
LsPanda2_NormalAttack	0
XuanWu_NormalAttack	5
XuanWu_NormalAttack2	5
WuDangYa_NormalAttack	5
Plant_Bamboo	0
DLC_Plant_HuangJing	5
