ID	Name	Event	Hide	HardCore	fParam	sParam	Desc	Icon	SteamID	Dlc	Point
ID	成就名字	事件	是否隐藏	硬核解锁	参数	参数	介绍	图标			成就点数
1	得道飞升	God_Count		0	1		累计1人飞升	res/Sprs/Achievement/icon_001	NEW_ACHIEVEMENT_8_13		10
2	飞升达人	God_Count		0	3		累计3人飞升	res/Sprs/Achievement/icon_002	NEW_ACHIEVEMENT_8_14		10
3	仙界熟客	God_Count		0	5		累计5人飞升	res/Sprs/Achievement/icon_003	NEW_ACHIEVEMENT_8_15		10
4	仙名远扬	God_Count		0	10		累计10人飞升	res/Sprs/Achievement/icon_004	NEW_ACHIEVEMENT_1_0		10
5	初出茅庐	Explore_Count		0	1		累计历练1次	res/Sprs/Achievement/icon_005	NEW_ACHIEVEMENT_8_16		10
6	混迹红尘	Explore_Count		0	100		累计历练100次	res/Sprs/Achievement/icon_006	NEW_ACHIEVEMENT_8_17		10
7	行遍千山	Explore_Count		0	500		累计历练500次	res/Sprs/Achievement/icon_007	NEW_ACHIEVEMENT_8_18		10
8	驰骋天下	Explore_Count		0	1000		累计历练1000次	res/Sprs/Achievement/icon_008	NEW_ACHIEVEMENT_6_12		10
9	初试炼丹	Dan_Count		0	1		累计炼丹1次	res/Sprs/Achievement/icon_009	NEW_ACHIEVEMENT_8_19		10
10	炼丹熟手	Dan_Count		0	50		累计炼丹50次	res/Sprs/Achievement/icon_010	NEW_ACHIEVEMENT_8_20		10
11	丹门高人	Dan_Count		0	100		累计炼丹100次	res/Sprs/Achievement/icon_011	NEW_ACHIEVEMENT_8_21		10
12	大丹师	Dan_Count		0	500		累计炼丹500次	res/Sprs/Achievement/icon_012	NEW_ACHIEVEMENT_6_13		10
13	初试炼宝	Refining_Count		0	1		累计炼宝1次	res/Sprs/Achievement/icon_013	NEW_ACHIEVEMENT_8_22		10
14	炼宝熟手	Refining_Count		0	50		累计炼宝50次	res/Sprs/Achievement/icon_014	NEW_ACHIEVEMENT_8_23		10
15	炼宝高手	Refining_Count		0	100		累计炼宝100次	res/Sprs/Achievement/icon_015	NEW_ACHIEVEMENT_8_24		10
16	宝尊者	Refining_Count		0	500		累计炼宝500次	res/Sprs/Achievement/icon_016	NEW_ACHIEVEMENT_6_14		10
17	初试画符	Fu_Count		0	1		累计画符1次	res/Sprs/Achievement/icon_017	NEW_ACHIEVEMENT_8_25		10
