Tag	TargetType	Q	MA	SA	FA	fParam	sParam	BanNpc
类型标签	0是目标不论仙凡1是目标为凡人2是目标为仙人3是目标为仙人且我比其境界高4是目标为仙人且我比其境界低4是目标为仙人且我与其境界一样	Report Bug	无成功失败/中性回答	Success!	Fail	数值参数(SECRET为事件ID)	文本参数	
Chat_Place_WuDang_JinDing	0	Is there some special fishes here?	It is said there is a kind of crab in clouds and they only appear in summer.					Npc_WuDang_1
Chat_Place_WuDang_NanYanGong	0	Is there some special fishes here?	It is said there is a kind of crab in clouds and they only appear in summer.					Npc_WuDang_1
Chat_Place_WuDang_ZiXiaoGong	0	Is there some special fishes here?	It is said there is a kind of crab in clouds and they only appear in summer.					Npc_WuDang_1
Chat_Place_WuDang_Taizipo	0	Is there some special fishes here?	It is said there is a kind of crab in clouds and they only appear in summer.					Npc_WuDang_1
Chat_Place_WuDang_JinDing	0	Is there some special fishes here?	It is said there is a kind of crab in clouds and they only eat metal element items.					Npc_WuDang_1
Chat_Place_WuDang_NanYanGong	0	Is there some special fishes here?	It is said there is a kind of crab in clouds and they only eat metal element items.					Npc_WuDang_1
Chat_Place_WuDang_ZiXiaoGong	0	Is there some special fishes here?	It is said there is a kind of crab in clouds and they only eat metal element items.					Npc_WuDang_1
Chat_Place_WuDang_Taizipo	0	Is there some special fishes here?	It is said there is a kind of crab in clouds and they only eat metal element items.					Npc_WuDang_1
Chat_Place_WuDang_JinDing	0	Is there some special fishes here?	Please pay attention to the cloubs nearby and you can find some black fishes. But they do not show their faces during daytime.					Npc_WuDang_1
Chat_Place_WuDang_NanYanGong	0	Is there some special fishes here?	Please pay attention to the cloubs nearby and you can find some black fishes. But they do not show their faces during daytime.					Npc_WuDang_1
Chat_Place_WuDang_ZiXiaoGong	0	Is there some special fishes here?	Please pay attention to the cloubs nearby and you can find some black fishes. But they do not show their faces during daytime.					Npc_WuDang_1
Chat_Place_WuDang_Taizipo	0	Is there some special fishes here?	Please pay attention to the cloubs nearby and you can find some black fishes. But they do not show their faces during daytime.					Npc_WuDang_1
Chat_Npc_Npc_WuDang_1	0	道友……	这位道友，你与我有缘呀！你我当结为好友，义结金兰，邀为同道……					
Chat_Npc_Npc_WuDang_1	0	道友最近如何？	嘎嘎，武当无敌鸭！					
Chat_Npc_Npc_WuDang_1	0	道友创世之业如何了？	唔，创世本非易与之事，还差一些时日，道友勿急。					
