ID	Name	Desc	sParam1	sParam2

1	Clear	    It is a very clear and bright day, but you don't know how long it will last.		
2	Cloudy	    It is a very grim and cloudy day, but you don't know how long it will last.		
3	Light Rain	    It has started to rain lightly.		
4	Heavy Rain	    It has started to rain heavily.		
5	Thick Fog	    A thick fog has suddenly started to form.		
6	Gloomy Mood	    A strange gloomy mood has begun permeating the sect.		
7	Romance	    A romantic atmosphere has begun permeating the sect.		
8	Irritation	    People all over the sect suddenly has begun getting irritated easily.		
9	Hail	    It has started to hail. (Unimplemented)		
10	Rainy Season	    The rainy season has started.		
11	Drought	    The drought season has started.		
12	Rainstorm	    A heavy rainstorm has started, and the Water Element across heaven and earth is extremely active.		
13	Foehn Wind	    A dry and warm foehn wind has started, and the Fire Element across heaven and earth is extremely active.		
14	Dust Storm	    A dust storm is sweeping across the land, and the Earth Element across heaven and earth is extremely active.		
15	Qi Drought	    For unknown reasons, it is in a drought season of Qi across heaven and earth.		
16	Heat	    Summer heat is coming, so it will be extremely warm. Be sure to prevent heatstroke.		
17	Cold Winter	    A cold winter is coming, so the weather will be freezing. Be sure to stay warm.		
18	Polar Night	    A strange cloud is covering the sun. It will be a while until you can see sunlight again.		
19	Miasma	    Noxious air is rising over the whole area, and the Wood Element across heaven and earth is extremely active.		
20	Thunderstorm	    A thunderstorm is coming, and the Metal Element across heaven and earth is extremely active.		
21	Beast	    A Fei has shown up near the area, and it has brought continuous rain and illness.		
22	Beast	    A Lushu has shown up near the area, and it has brought clear weather and an auspicious atmosphere.		
23	Strange Little Elf	    A group of little beasts from the Otherworld were wandering around with treasures when they passed by your sect. These beasts are very timid, but the two realms have different rules, so common methods used by cultivators cannot affect them, and these little guys often run riot around the world. To get the treasures from them, you need to think of something else.		
24	Beast	    Beasts have shown up near the area.		
25	Treasure	    A beam of light has shot down from the sky. It seems to be something precious.		
26	Treasure	    A fierce magical fight happened over the sky not far from here. Something precious has dropped near the area.		
27	Treasure	    A beam of light suddenly shot up into the sky. A treasure seems to be gracing this area.		
28	Passer-by Refugee	    A refugee escaping the war is passing by, and [IT] wishes to join you.		
29	Secret			
30	Secret			
31	Secret			
32	Secret			
33	Secret			
34	Attack	    A group of savage men from the Southern Jungle has attacked you.		
35	Attack	    A group of bandits who make a living robbing people across cities and towns has attacked you.		
